city,month,year,date,pollutant,monthly_mean
Sheffield,2024-11-01T00:00:00Z,2024,11/1/2024,no2,19.60526316
Sheffield,2024-11-01T00:00:00Z,2024,11/1/2024,o3,40.31578947
Sheffield,2024-11-01T00:00:00Z,2024,11/1/2024,pm10,19.83050847
Sheffield,2024-11-01T00:00:00Z,2024,11/1/2024,pm25,15.91525424
Sheffield,2024-12-01T00:00:00Z,2024,12/1/2024,no2,16.51898734
Sheffield,2024-12-01T00:00:00Z,2024,12/1/2024,o3,42.43243243
Sheffield,2024-12-01T00:00:00Z,2024,12/1/2024,pm10,15.63265306
Sheffield,2024-12-01T00:00:00Z,2024,12/1/2024,pm25,11.75510204
Sheffield,2025-01-01T00:00:00Z,2025,1/1/2025,no2,17.91023942
Sheffield,2025-01-01T00:00:00Z,2025,1/1/2025,o3,42.55122335
Sheffield,2025-01-01T00:00:00Z,2025,1/1/2025,pm10,12.10759494
Sheffield,2025-01-01T00:00:00Z,2025,1/1/2025,pm25,6.462025316
Sheffield,2025-02-01T00:00:00Z,2025,2/1/2025,no2,18.21714363
Sheffield,2025-02-01T00:00:00Z,2025,2/1/2025,o3,43.84305108
Sheffield,2025-02-01T00:00:00Z,2025,2/1/2025,pm10,11.69375
Sheffield,2025-02-01T00:00:00Z,2025,2/1/2025,pm25,6.4
Sheffield,2025-03-01T00:00:00Z,2025,3/1/2025,no2,9.546454802
Sheffield,2025-03-01T00:00:00Z,2025,3/1/2025,o3,50.50377661
Sheffield,2025-03-01T00:00:00Z,2025,3/1/2025,pm10,12.04368932
Sheffield,2025-03-01T00:00:00Z,2025,3/1/2025,pm25,6.805825243
Sheffield,2025-04-01T00:00:00Z,2025,4/1/2025,no2,8.533253106
Sheffield,2025-04-01T00:00:00Z,2025,4/1/2025,o3,50.20720906
Sheffield,2025-04-01T00:00:00Z,2025,4/1/2025,pm10,12.06133829
Sheffield,2025-04-01T00:00:00Z,2025,4/1/2025,pm25,7.267657993
Sheffield,2025-05-01T00:00:00Z,2025,5/1/2025,no2,7.423313525
Sheffield,2025-05-01T00:00:00Z,2025,5/1/2025,o3,62.59179877
Sheffield,2025-05-01T00:00:00Z,2025,5/1/2025,pm10,12.97310924
Sheffield,2025-05-01T00:00:00Z,2025,5/1/2025,pm25,6.605042017
Sheffield,2025-06-01T00:00:00Z,2025,6/1/2025,no2,9.012423469
Sheffield,2025-06-01T00:00:00Z,2025,6/1/2025,o3,58.33893807
Sheffield,2025-06-01T00:00:00Z,2025,6/1/2025,pm10,10.8159292
Sheffield,2025-06-01T00:00:00Z,2025,6/1/2025,pm25,5.674336283
Sheffield,2025-07-01T00:00:00Z,2025,7/1/2025,no2,9.872246287
Sheffield,2025-07-01T00:00:00Z,2025,7/1/2025,o3,46.21806687
Sheffield,2025-07-01T00:00:00Z,2025,7/1/2025,pm10,10.24610052
Sheffield,2025-07-01T00:00:00Z,2025,7/1/2025,pm25,6.185441941
Sheffield,2025-08-01T00:00:00Z,2025,8/1/2025,no2,10.88878231
Sheffield,2025-08-01T00:00:00Z,2025,8/1/2025,o3,52.57698773
Sheffield,2025-08-01T00:00:00Z,2025,8/1/2025,pm10,11.86934673
Sheffield,2025-08-01T00:00:00Z,2025,8/1/2025,pm25,6.266331658
Sheffield,2025-09-01T00:00:00Z,2025,9/1/2025,no2,14.67028431
Sheffield,2025-09-01T00:00:00Z,2025,9/1/2025,o3,41.04162149
Sheffield,2025-09-01T00:00:00Z,2025,9/1/2025,pm10,9.961977186
Sheffield,2025-09-01T00:00:00Z,2025,9/1/2025,pm25,5.733840304
Sheffield,2025-10-01T00:00:00Z,2025,10/1/2025,no2,18.16894518
Sheffield,2025-10-01T00:00:00Z,2025,10/1/2025,o3,40.22206163
Sheffield,2025-10-01T00:00:00Z,2025,10/1/2025,pm10,12.91479821
Sheffield,2025-10-01T00:00:00Z,2025,10/1/2025,pm25,8.733183857
Sheffield,2025-11-01T00:00:00Z,2025,11/1/2025,no2,17.70941502
Sheffield,2025-11-01T00:00:00Z,2025,11/1/2025,o3,45.28360123
Sheffield,2025-11-01T00:00:00Z,2025,11/1/2025,pm10,14.05660377
Sheffield,2025-11-01T00:00:00Z,2025,11/1/2025,pm25,8.031446541
Sheffield,2025-12-01T00:00:00Z,2025,12/1/2025,no2,16.24843344
Sheffield,2025-12-01T00:00:00Z,2025,12/1/2025,o3,52.5268203
Sheffield,2025-12-01T00:00:00Z,2025,12/1/2025,pm10,18.6625
Sheffield,2025-12-01T00:00:00Z,2025,12/1/2025,pm25,10.6
