location_name,datetimeLocal,unit,no2,o3,pm10,pm25
Sheffield Devonshire Green - UKA00575,2011-09-20T23:15:00Z,µg/m³,17,45,13,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:16:00Z,µg/m³,17,47,13,6
Sheffield Devonshire Green - UKA00575,2011-09-20T23:17:00Z,µg/m³,24,48,12,6
Sheffield Devonshire Green - UKA00575,2011-09-20T23:18:00Z,µg/m³,22,49,12,6
Sheffield Devonshire Green - UKA00575,2011-09-20T23:19:00Z,µg/m³,24,48,11,6
Sheffield Devonshire Green - UKA00575,2011-09-20T23:20:00Z,µg/m³,17,47,11,5
Sheffield Devonshire Green - UKA00575,2011-09-20T23:21:00Z,µg/m³,15,46,10,5
Sheffield Devonshire Green - UKA00575,2011-09-20T23:22:00Z,µg/m³,13,47,9,5
Sheffield Devonshire Green - UKA00575,2011-09-20T23:23:00Z,µg/m³,13,47,9,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:00:00Z,µg/m³,9,50,8,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:02:00Z,µg/m³,16,52,7,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:03:00Z,µg/m³,16,54,7,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:04:00Z,µg/m³,12,51,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:05:00Z,µg/m³,12,51,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:06:00Z,µg/m³,20,42,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:07:00Z,µg/m³,25,35,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:08:00Z,µg/m³,38,28,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:09:00Z,µg/m³,38,22,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:10:00Z,µg/m³,23,21,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:11:00Z,µg/m³,16,21,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:12:00Z,µg/m³,16,21,6,3
Sheffield Devonshire Green - UKA00575,2011-10-20T23:13:00Z,µg/m³,11,24,6,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:14:00Z,µg/m³,8,29,6,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:15:00Z,µg/m³,13,34,6,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:16:00Z,µg/m³,19,39,6,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:17:00Z,µg/m³,23,42,6,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:18:00Z,µg/m³,39,41,6,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:19:00Z,µg/m³,21,41,6,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:21:00Z,µg/m³,19,40,7,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:22:00Z,µg/m³,15,39,7,4
Sheffield Devonshire Green - UKA00575,2011-10-20T23:23:00Z,µg/m³,15,38,7,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:00:00Z,µg/m³,11,38,7,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:02:00Z,µg/m³,31,36,7,5
Sheffield Devonshire Green - UKA00575,2011-11-20T23:03:00Z,µg/m³,31,35,7,5
Sheffield Devonshire Green - UKA00575,2011-11-20T23:04:00Z,µg/m³,12,35,8,5
Sheffield Devonshire Green - UKA00575,2011-11-20T23:05:00Z,µg/m³,12,35,8,5
Sheffield Devonshire Green - UKA00575,2011-11-20T23:06:00Z,µg/m³,7,37,7,5
Sheffield Devonshire Green - UKA00575,2011-11-20T23:07:00Z,µg/m³,7,39,7,5
Sheffield Devonshire Green - UKA00575,2011-11-20T23:08:00Z,µg/m³,10,39,7,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:09:00Z,µg/m³,15,40,7,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:10:00Z,µg/m³,12,43,6,4
Sheffield Devonshire Green - UKA00575,2011-11-20T23:11:00Z,µg/m³,9,45,6,4
