location_name,datetimeLocal,unit,no2,o3,pm10,pm25,city,so2
Sheffield Devonshire Green - UKA00575,2024-05-21T00:12:00Z,µg/m³,14,44,18,12,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:13:00Z,µg/m³,15,43,17,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:14:00Z,µg/m³,20,42,16,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:15:00Z,µg/m³,24,40,16,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:16:00Z,µg/m³,36,36,15,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:17:00Z,µg/m³,35,33,15,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:18:00Z,µg/m³,39,29,15,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:19:00Z,µg/m³,41,25,14,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:20:00Z,µg/m³,29,22,14,10,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:21:00Z,µg/m³,24,19,13,10,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:22:00Z,µg/m³,24,17,12,9,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:00:00Z,µg/m³,16,15,10,8,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:02:00Z,µg/m³,10,20,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:03:00Z,µg/m³,10,21,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:04:00Z,µg/m³,8,24,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:05:00Z,µg/m³,8,25,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:06:00Z,µg/m³,7,30,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:07:00Z,µg/m³,9,32,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:08:00Z,µg/m³,11,33,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:09:00Z,µg/m³,14,33,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:10:00Z,µg/m³,19,33,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:11:00Z,µg/m³,13,34,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:12:00Z,µg/m³,11,35,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:13:00Z,µg/m³,9,36,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:14:00Z,µg/m³,11,37,9,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:15:00Z,µg/m³,17,39,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:16:00Z,µg/m³,24,38,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:17:00Z,µg/m³,22,38,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:18:00Z,µg/m³,32,37,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:19:00Z,µg/m³,27,34,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-06-21T00:20:00Z,µg/m³,24,31,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:00:00Z,µg/m³,17,23,9,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:03:00Z,µg/m³,10,29,9,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:04:00Z,µg/m³,9,34,9,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:05:00Z,µg/m³,9,35,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:06:00Z,µg/m³,5,40,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:07:00Z,µg/m³,7,44,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:08:00Z,µg/m³,8,47,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:09:00Z,µg/m³,9,49,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:10:00Z,µg/m³,13,49,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:11:00Z,µg/m³,11,49,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:12:00Z,µg/m³,8,50,11,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:13:00Z,µg/m³,10,51,11,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:14:00Z,µg/m³,10,51,11,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:15:00Z,µg/m³,9,51,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:16:00Z,µg/m³,12,51,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:17:00Z,µg/m³,16,51,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:18:00Z,µg/m³,16,50,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:19:00Z,µg/m³,22,48,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:21:00Z,µg/m³,10,47,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:22:00Z,µg/m³,11,47,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-07-21T00:23:00Z,µg/m³,11,46,9,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:00:00Z,µg/m³,11,48,9,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:02:00Z,µg/m³,13,49,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:03:00Z,µg/m³,13,51,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:04:00Z,µg/m³,9,52,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:05:00Z,µg/m³,9,51,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:06:00Z,µg/m³,9,49,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:07:00Z,µg/m³,12,47,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:08:00Z,µg/m³,21,45,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:09:00Z,µg/m³,28,42,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:10:00Z,µg/m³,27,41,10,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:11:00Z,µg/m³,25,39,10,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:12:00Z,µg/m³,26,38,11,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:13:00Z,µg/m³,20,38,11,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:14:00Z,µg/m³,18,38,12,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:15:00Z,µg/m³,20,39,12,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:16:00Z,µg/m³,22,41,12,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:17:00Z,µg/m³,18,44,13,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:18:00Z,µg/m³,19,46,13,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:19:00Z,µg/m³,21,48,13,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-08-21T00:21:00Z,µg/m³,19,50,13,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:02:00Z,µg/m³,11,55,14,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:03:00Z,µg/m³,11,56,14,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:04:00Z,µg/m³,14,57,14,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:05:00Z,µg/m³,14,58,14,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:06:00Z,µg/m³,19,56,14,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:07:00Z,µg/m³,23,55,14,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:08:00Z,µg/m³,20,53,14,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-09-21T00:09:00Z,µg/m³,26,50,15,7,Sheffield,NA
