location_name,datetimeLocal,unit,no2,o3,pm10,pm25,so2
Hull Freetown - UKA00450,2024-08-21T00:14:00Z,µg/m³,16,61,19,11,1
Hull Freetown - UKA00450,2024-08-21T00:15:00Z,µg/m³,16,61,19,11,1
Hull Freetown - UKA00450,2024-08-21T00:16:00Z,µg/m³,15,63,20,11,1
Hull Freetown - UKA00450,2024-08-21T00:17:00Z,µg/m³,23,63,19,10,1
Hull Freetown - UKA00450,2024-08-21T00:18:00Z,µg/m³,18,64,19,10,1
Hull Freetown - UKA00450,2024-08-21T00:19:00Z,µg/m³,8,66,16,7,1
Hull Freetown - UKA00450,2024-08-21T00:21:00Z,µg/m³,4,69,15,7,0
Hull Freetown - UKA00450,2024-09-21T00:02:00Z,µg/m³,2,76,15,6,0
Hull Freetown - UKA00450,2024-09-21T00:03:00Z,µg/m³,2,76,15,6,0
Hull Freetown - UKA00450,2024-09-21T00:04:00Z,µg/m³,3,76,16,6,0
Hull Freetown - UKA00450,2024-09-21T00:05:00Z,µg/m³,4,75,16,6,0
Hull Freetown - UKA00450,2024-09-21T00:06:00Z,µg/m³,5,74,16,6,0
Hull Freetown - UKA00450,2024-09-21T00:07:00Z,µg/m³,8,73,17,7,0
Hull Freetown - UKA00450,2024-09-21T00:08:00Z,µg/m³,19,71,17,7,0
Hull Freetown - UKA00450,2024-09-21T00:09:00Z,µg/m³,25,68,18,7,1
Hull Freetown - UKA00450,2024-09-21T00:10:00Z,µg/m³,17,67,18,7,0
Hull Freetown - UKA00450,2024-09-21T00:11:00Z,µg/m³,14,65,18,7,1
Hull Freetown - UKA00450,2024-09-21T00:12:00Z,µg/m³,12,64,18,7,1
Hull Freetown - UKA00450,2024-09-21T00:13:00Z,µg/m³,11,64,18,7,0
Hull Freetown - UKA00450,2024-09-21T00:15:00Z,µg/m³,16,62,17,7,1
Hull Freetown - UKA00450,2024-09-21T00:16:00Z,µg/m³,20,63,17,6,0
Hull Freetown - UKA00450,2024-09-21T00:17:00Z,µg/m³,27,63,17,6,1
Hull Freetown - UKA00450,2024-09-21T00:18:00Z,µg/m³,14,63,17,6,1
Hull Freetown - UKA00450,2024-09-21T00:19:00Z,µg/m³,9,64,17,6,0
Hull Freetown - UKA00450,2024-09-21T00:20:00Z,µg/m³,5,65,17,6,1
Hull Freetown - UKA00450,2024-10-21T00:00:00Z,µg/m³,7,68,16,6,0
Hull Freetown - UKA00450,2024-10-21T00:03:00Z,µg/m³,1,70,14,6,0
Hull Freetown - UKA00450,2024-10-21T00:04:00Z,µg/m³,1,69,14,5,0
Hull Freetown - UKA00450,2024-10-21T00:05:00Z,µg/m³,3,67,13,5,0
Hull Freetown - UKA00450,2024-10-21T00:06:00Z,µg/m³,7,65,13,5,0
Hull Freetown - UKA00450,2024-10-21T00:07:00Z,µg/m³,15,63,12,5,0
Hull Freetown - UKA00450,2024-10-21T00:08:00Z,µg/m³,51,57,12,4,1
Hull Freetown - UKA00450,2024-10-21T00:09:00Z,µg/m³,59,49,11,4,1
Hull Freetown - UKA00450,2024-10-21T00:10:00Z,µg/m³,48,43,11,4,1
Hull Freetown - UKA00450,2024-10-21T00:11:00Z,µg/m³,39,38,11,4,1
Hull Freetown - UKA00450,2024-10-21T00:12:00Z,µg/m³,21,37,10,4,1
Hull Freetown - UKA00450,2024-10-21T00:13:00Z,µg/m³,16,37,10,4,1
Hull Freetown - UKA00450,2024-10-21T00:14:00Z,µg/m³,18,37,10,4,1
Hull Freetown - UKA00450,2024-10-21T00:15:00Z,µg/m³,20,37,10,4,1
Hull Freetown - UKA00450,2024-10-21T00:16:00Z,µg/m³,29,41,9,4,1
Hull Freetown - UKA00450,2024-10-21T00:17:00Z,µg/m³,28,46,9,4,1
Hull Freetown - UKA00450,2024-10-21T00:18:00Z,µg/m³,18,51,8,4,0
Hull Freetown - UKA00450,2024-10-21T00:19:00Z,µg/m³,11,56,8,3,0
Hull Freetown - UKA00450,2024-11-21T00:02:00Z,µg/m³,1,68,7,3,0
Hull Freetown - UKA00450,2024-11-21T00:03:00Z,µg/m³,3,69,7,3,0
Hull Freetown - UKA00450,2024-11-21T00:04:00Z,µg/m³,3,69,7,3,0
Hull Freetown - UKA00450,2024-11-21T00:05:00Z,µg/m³,2,69,7,3,NA
